Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close
12/31/15,107.010002,107.029999,104.82,105.260002
1/4/16,102.610001,105.370003,102,105.349998
1/5/16,105.75,105.849998,102.410004,102.709999
1/6/16,100.559998,102.370003,99.870003,100.699997
1/7/16,98.68,100.129997,96.43,96.449997
1/8/16,98.550003,99.110001,96.760002,96.959999
1/11/16,98.970001,99.059998,97.339996,98.529999
1/12/16,100.550003,100.690002,98.839996,99.959999
1/13/16,100.32,101.190002,97.300003,97.389999
1/14/16,97.959999,100.480003,95.739998,99.519997
1/15/16,96.199997,97.709999,95.360001,97.129997
1/19/16,98.410004,98.650002,95.5,96.660004
1/20/16,95.099998,98.190002,93.419998,96.790001
1/21/16,97.059998,97.879997,94.940002,96.300003
1/22/16,98.629997,101.459999,98.370003,101.419998
1/25/16,101.519997,101.529999,99.209999,99.440002
1/26/16,99.93,100.879997,98.07,99.989998
1/27/16,96.040001,96.629997,93.339996,93.419998
1/28/16,93.790001,94.519997,92.389999,94.089996
1/29/16,94.790001,97.339996,94.349998,97.339996
2/1/16,96.470001,96.709999,95.400002,96.43
2/2/16,95.419998,96.040001,94.279999,94.480003
2/3/16,95,96.839996,94.080002,96.349998
2/4/16,95.860001,97.330002,95.190002,96.599998
2/5/16,96.519997,96.919998,93.690002,94.019997
2/8/16,93.129997,95.699997,93.040001,95.010002
2/9/16,94.290001,95.940002,93.93,94.989998
2/10/16,95.919998,96.349998,94.099998,94.269997
2/11/16,93.790001,94.720001,92.589996,93.699997
2/12/16,94.190002,94.5,93.010002,93.989998
2/16/16,95.019997,96.849998,94.610001,96.639999
2/17/16,96.669998,98.209999,96.150002,98.120003
2/18/16,98.839996,98.889999,96.089996,96.260002
2/19/16,96,96.760002,95.800003,96.040001
2/22/16,96.309998,96.900002,95.919998,96.879997
2/23/16,96.400002,96.5,94.550003,94.690002
2/24/16,93.980003,96.379997,93.32,96.099998
2/25/16,96.050003,96.760002,95.25,96.760002
2/26/16,97.199997,98.019997,96.580002,96.910004
2/29/16,96.860001,98.230003,96.650002,96.690002
3/1/16,97.650002,100.769997,97.419998,100.529999
3/2/16,100.510002,100.889999,99.639999,100.75
3/3/16,100.580002,101.709999,100.449997,101.5
3/4/16,102.370003,103.75,101.370003,103.010002
3/7/16,102.389999,102.830002,100.959999,101.870003
3/8/16,100.779999,101.760002,100.400002,101.029999
3/9/16,101.309998,101.580002,100.269997,101.120003
3/10/16,101.410004,102.239998,100.150002,101.169998
3/11/16,102.239998,102.279999,101.5,102.260002
3/14/16,101.910004,102.910004,101.779999,102.519997
3/15/16,103.959999,105.18,103.849998,104.580002
3/16/16,104.610001,106.309998,104.589996,105.970001
3/17/16,105.519997,106.470001,104.959999,105.800003
3/18/16,106.339996,106.5,105.190002,105.919998
3/21/16,105.93,107.650002,105.139999,105.910004
3/22/16,105.25,107.290001,105.209999,106.720001
3/23/16,106.480003,107.07,105.900002,106.129997
3/24/16,105.470001,106.25,104.889999,105.669998
3/28/16,106,106.190002,105.059998,105.190002
3/29/16,104.889999,107.790001,104.879997,107.68
3/30/16,108.650002,110.419998,108.599998,109.559998
3/31/16,109.720001,109.900002,108.879997,108.989998
4/1/16,108.779999,110,108.199997,109.989998
4/4/16,110.419998,112.190002,110.269997,111.120003
4/5/16,109.510002,110.730003,109.419998,109.809998
4/6/16,110.230003,110.980003,109.199997,110.959999
4/7/16,109.949997,110.419998,108.120003,108.540001
4/8/16,108.910004,109.769997,108.169998,108.660004
4/11/16,108.970001,110.610001,108.830002,109.019997
4/12/16,109.339996,110.5,108.660004,110.440002
4/13/16,110.800003,112.339996,110.800003,112.040001
4/14/16,111.620003,112.389999,111.330002,112.099998
4/15/16,112.110001,112.300003,109.730003,109.849998
4/18/16,108.889999,108.949997,106.940002,107.480003
4/19/16,107.879997,108,106.230003,106.910004
4/20/16,106.639999,108.089996,106.059998,107.129997
4/21/16,106.93,106.93,105.519997,105.970001
4/22/16,105.010002,106.480003,104.620003,105.68
4/25/16,105,105.650002,104.510002,105.080002
4/26/16,103.910004,105.300003,103.910004,104.349998
4/27/16,96,98.709999,95.68,97.82
4/28/16,97.610001,97.879997,94.25,94.830002
4/29/16,93.989998,94.720001,92.510002,93.739998
5/2/16,93.970001,94.080002,92.400002,93.639999
5/3/16,94.199997,95.739998,93.68,95.18
5/4/16,95.199997,95.900002,93.82,94.190002
5/5/16,94,94.07,92.68,93.239998
5/6/16,93.370003,93.449997,91.849998,92.720001
5/9/16,93,93.769997,92.589996,92.790001
5/10/16,93.330002,93.57,92.110001,93.419998
5/11/16,93.480003,93.57,92.459999,92.510002
5/12/16,92.720001,92.779999,89.470001,90.339996
5/13/16,90,91.669998,90,90.519997
5/16/16,92.389999,94.389999,91.650002,93.879997
5/17/16,94.550003,94.699997,93.010002,93.489998
5/18/16,94.160004,95.209999,93.889999,94.559998
5/19/16,94.639999,94.639999,93.57,94.199997
5/20/16,94.639999,95.43,94.519997,95.220001
5/23/16,95.870003,97.190002,95.669998,96.43
5/24/16,97.220001,98.089996,96.839996,97.900002
5/25/16,98.669998,99.739998,98.110001,99.620003
5/26/16,99.68,100.730003,98.639999,100.410004
5/27/16,99.440002,100.470001,99.25,100.349998
5/31/16,99.599998,100.400002,98.82,99.860001
6/1/16,99.019997,99.540001,98.330002,98.459999
6/2/16,97.599998,97.839996,96.629997,97.720001
6/3/16,97.790001,98.269997,97.449997,97.919998
6/6/16,97.989998,101.889999,97.550003,98.629997
6/7/16,99.25,99.870003,98.959999,99.029999
6/8/16,99.019997,99.559998,98.68,98.940002
6/9/16,98.5,99.989998,98.459999,99.650002
6/10/16,98.529999,99.349998,98.480003,98.830002
6/13/16,98.690002,99.120003,97.099998,97.339996
6/14/16,97.32,98.480003,96.75,97.459999
6/15/16,97.82,98.410004,97.029999,97.139999
6/16/16,96.449997,97.75,96.07,97.550003
